pdg,px,py,pz,vx,vy,vz
211,-0.0148415,0.0167377,0.874243,-0.603328,1.27172,725.057
211,-0.0148415,0.0167377,0.874243,-0.603328,1.27172,725.057
211,-0.0379314,0.00655613,1.85786,-29.9917,5.99906,1216.34
-211,-0.123132,0.0676737,0.296315,-34.3222,72.6739,216.342
-211,-0.123132,0.0676737,0.296315,-34.3222,72.6739,216.342
211,0.119686,0.0483999,0.504709,56.8008,34.6013,4441.64
211,0.00968296,0.0135502,0.706498,25.0855,19.5104,736.639
211,0.00968296,0.0135502,0.706498,25.0855,19.5104,736.639
211,-0.00271655,0.0114598,0.758603,-9.14319,32.8001,1306.94
211,-0.00271655,0.0114598,0.758603,-9.14319,32.8001,1306.94
211,0.0180023,0.000793751,0.72216,71.3373,-13.3767,2399.63
-211,-0.119366,-0.0332043,0.540454,-10.9723,-12.4589,3500.23
-211,-0.119366,-0.0332043,0.540454,-10.9723,-12.4589,3500.23
-211,-0.119366,-0.0332043,0.540454,-10.9723,-12.4589,3500.23
-211,-0.0863765,0.0683133,0.157329,-38.0219,33.8749,1619.33
211,0.00539699,-0.0269675,0.892724,11.4135,-56.1779,1981.55
211,0.00539699,-0.0269675,0.892724,11.4135,-56.1779,1981.55
-211,-0.0173537,0.00405928,-0.106991,2.32953,15.8608,5021.5
211,-0.0539378,-0.265674,3.00805,-6.20286,-29.3684,342.28
211,0.0395838,0.00326234,1.32,41.9046,3.53351,1117.3
211,-0.0274093,-0.00552419,1.49234,-32.3404,-13.2355,2772.04
211,-0.0274093,-0.00552419,1.49234,-32.3404,-13.2355,2772.04
211,-0.0274093,-0.00552419,1.49234,-32.3404,-13.2355,2772.04
211,0.0418713,-0.101597,0.157507,53.9446,18.4517,5069.85
211,0.059168,-0.241633,4.72903,2.24523,-11.1941,173.003
-211,0.032762,-0.0582857,0.175294,60.5632,36.3347,4126.68
211,0.012624,0.040732,2.4219,6.36653,22.1317,1598.89
211,-0.0258871,-0.0530327,0.852612,-13.2129,-28.0372,759.563
211,-0.0100452,-0.00504889,1.91338,-7.51202,-9.82531,3214.88
-211,0.113443,-0.064121,1.26729,8.97677,-5.42319,210.269
211,-0.0473731,-0.0298763,-0.215045,48.4192,52.1452,5036.4
211,-0.0473731,-0.0298763,-0.215045,48.4192,52.1452,5036.4
211,-0.0473731,-0.0298763,-0.215045,48.4192,52.1452,5036.4
-211,-0.0642698,-0.0388504,0.73279,-33.5654,0.556283,2316.94
211,-0.0272319,-0.00126913,1.98988,-40.3352,-7.15476,4293.58
211,0.0473081,-0.0186016,0.474125,66.465,-32.0119,1065.51
211,0.0473081,-0.0186016,0.474125,66.465,-32.0119,1065.51
211,0.0347593,0.0777273,1.21688,36.196,80.2617,1480.91
211,0.0347593,0.0777273,1.21688,36.196,80.2617,1480.91
211,0.000146902,-0.00291297,1.63292,-5.77321,-8.04624,3837.87
211,0.000146902,-0.00291297,1.63292,-5.77321,-8.04624,3837.87
211,-0.333421,0.0618864,2.18577,-16.0847,2.87995,126.458
211,0.0199916,-0.039756,1.14196,3.43503,-8.64935,640.715
211,-0.0242048,-0.00384977,0.24268,2.88219,2.5783,117.661
211,-0.0306806,0.0151749,0.179354,-5.59412,2.86515,25.9831
211,0.116148,-0.105012,1.80732,17.2908,-17.9803,225.629
211,0.00647865,-0.0149973,0.615015,7.53416,-12.0948,1199.88
211,0.00647865,-0.0149973,0.615015,7.53416,-12.0948,1199.88
211,-0.17128,0.0404122,0.228825,45.7658,33.9334,4640.81
211,-0.0108661,-0.108385,-0.0245932,17.1342,-10.9991,5076.78
211,0.0141515,0.00896094,0.0629991,77.9196,-42.6738,1616.7
211,0.0181994,0.00393749,2.13429,5.32677,1.75532,1711.24
211,0.0693597,0.0739106,2.23752,58.4488,69.701,1914.09
211,0.011539,0.00583364,1.6259,37.6547,21.5039,4388.69
211,0.0160161,-0.0342733,2.5013,20.2156,-36.7317,3186.49
211,0.0160161,-0.0342733,2.5013,20.2156,-36.7317,3186.49
211,0.00994355,-0.012378,0.588711,46.5865,-74.1777,3677.57
211,0.00994355,-0.012378,0.588711,46.5865,-74.1777,3677.57
211,0.00994355,-0.012378,0.588711,46.5865,-74.1777,3677.57
211,0.00994355,-0.012378,0.588711,46.5865,-74.1777,3677.57
211,-0.00372175,-0.0152678,0.784673,2.6343,-0.289003,187.296
211,-0.00372175,-0.0152678,0.784673,2.6343,-0.289003,187.296
-211,0.170085,-0.0975118,0.698733,-83.7407,32.8794,4077.4
-211,0.170085,-0.0975118,0.698733,-83.7407,32.8794,4077.4
-211,0.170085,-0.0975118,0.698733,-83.7407,32.8794,4077.4
211,0.0807416,-0.0020425,2.7756,47.6525,-2.84495,1540.59
211,0.0807416,-0.0020425,2.7756,47.6525,-2.84495,1540.59
211,0.0212151,-0.0342739,1.85531,24.7303,-41.9951,2503.82
211,0.019626,0.0309086,1.67004,50.9813,73.722,4397.52
-211,-0.0584387,0.0259122,0.157209,77.3023,-37.6412,3930
-211,-0.0584387,0.0259122,0.157209,77.3023,-37.6412,3930
-211,-0.0584387,0.0259122,0.157209,77.3023,-37.6412,3930
211,-0.0204195,-0.00385822,-0.0600386,-20.0209,67.9007,1518.1
211,-0.0204195,-0.00385822,-0.0600386,-20.0209,67.9007,1518.1
211,-0.040491,0.0203194,1.72168,-2.31917,0.804782,287.442
211,-0.06306,-0.00420148,1.29088,4.04041,-0.155179,217.424
211,0.0430358,0.0167552,1.14027,7.50402,4.17886,340.634
211,0.0449267,-0.00972075,3.05873,23.8179,-7.26616,1528.74
211,0.0449267,-0.00972075,3.05873,23.8179,-7.26616,1528.74
211,0.00602452,-0.00302519,3.00122,11.2038,1.80104,2519.82
211,0.00602452,-0.00302519,3.00122,11.2038,1.80104,2519.82
211,-0.00682025,-0.00944926,0.609577,-18.6453,-27.5298,1875.31
211,-0.00682025,-0.00944926,0.609577,-18.6453,-27.5298,1875.31
211,-0.00682025,-0.00944926,0.609577,-18.6453,-27.5298,1875.31
211,0.0158853,0.152715,2.19226,0.920113,13.3595,153.715
211,0.0158853,0.152715,2.19226,0.920113,13.3595,153.715
211,-0.0556753,0.00183114,2.00658,-18.2859,0.649377,1080.57
