m_B,deltaE,nFlux_pi0,nFlux_eta
1.49575,930,9,2
1.49575,940,7,6
1.49575,950,9,10
1.49575,960,5,1
1.49575,970,2,6
1.49575,980,8,1
1.49575,990,11,10
1.59377,0,0,0
1.59377,10,0,0
1.59377,20,0,0
1.59377,30,0,0
1.59377,40,0,0
1.59377,50,0,0
1.59377,60,0,0
1.59377,70,19,0
1.59377,80,47,0
1.59377,90,38,0
1.59377,100,30,0
1.59377,110,30,0
1.59377,120,26,0
1.59377,130,34,0
1.59377,140,27,0
1.59377,150,37,0
1.59377,160,38,0
1.59377,170,32,0
1.59377,180,44,0
1.59377,190,55,0
1.59377,200,33,0
1.59377,210,41,0
1.59377,220,32,0
1.59377,230,38,0
1.59377,240,18,0
1.59377,250,46,0
1.59377,260,37,0
1.59377,270,32,0
1.59377,280,40,2
1.59377,290,51,2
1.59377,300,38,6
1.59377,310,31,5
1.59377,320,51,5
1.59377,330,47,6
1.59377,340,38,3
1.59377,350,41,2
1.59377,360,28,3
1.59377,370,27,2
1.59377,380,31,4
1.59377,390,40,6
1.59377,400,39,2
1.59377,410,16,7
1.59377,420,20,1
1.59377,430,25,4
1.59377,440,27,6
1.59377,450,28,5
1.59377,460,34,6
1.59377,470,23,2
1.59377,480,49,1
1.59377,490,40,3
1.59377,500,19,3
1.59377,510,29,8
1.59377,520,23,8
1.59377,530,35,12
1.59377,540,25,5
1.59377,550,40,6
1.59377,560,29,1
1.59377,570,46,5
1.59377,580,38,9
1.59377,590,32,4
1.59377,600,20,5
1.59377,610,19,8
1.59377,620,17,4
1.59377,630,20,4
1.59377,640,27,6
1.59377,650,21,1
1.59377,660,21,4
1.59377,670,25,3
1.59377,680,12,3
1.59377,690,18,5
1.59377,700,13,7
1.59377,710,15,6
1.59377,720,14,6
1.59377,730,12,7
1.59377,740,16,7
1.59377,750,25,3
1.59377,760,12,5
1.59377,770,16,12
1.59377,780,7,3
1.59377,790,19,3
1.59377,800,11,3
1.59377,810,7,13
1.59377,820,13,5
1.59377,830,17,10
1.59377,840,14,9
1.59377,850,17,8
1.59377,860,17,3
1.59377,870,23,9
1.59377,880,19,3
1.59377,890,43,10
1.59377,900,12,13
1.59377,910,5,8
1.59377,920,6,5
1.59377,930,7,2
1.59377,940,9,11
1.59377,950,6,9
1.59377,960,4,3
1.59377,970,2,8
1.59377,980,4,4
1.59377,990,6,10
1.69822,0,0,0
1.69822,10,0,0
1.69822,20,0,0
1.69822,30,0,0
1.69822,40,0,0
