m_B,deltaE,nFlux
5.14868,850,8000
5.14868,860,56000
5.14868,870,41309
5.14868,880,29790
5.14868,890,0
5.14868,900,0
5.14868,910,0
5.14868,920,0
5.14868,930,0
5.14868,940,0
5.14868,950,0
5.14868,960,0
5.14868,970,0
5.14868,980,0
5.14868,990,0
5.83646,0,0
5.83646,10,1
5.83646,20,10
5.83646,30,21
5.83646,40,50
5.83646,50,92
5.83646,60,134
5.83646,70,135
5.83646,80,261
5.83646,90,366
5.83646,100,504
5.83646,110,889
5.83646,120,1276
5.83646,130,1238
5.83646,140,1346
5.83646,150,1626
5.83646,160,1543
5.83646,170,2730
5.83646,180,2220
5.83646,190,2625
5.83646,200,3778
5.83646,210,5466
5.83646,220,7664
5.83646,230,5158
5.83646,240,4868
5.83646,250,11937
5.83646,260,10274
5.83646,270,11572
5.83646,280,18815
5.83646,290,23516
5.83646,300,28520
5.83646,310,26948
5.83646,320,27165
5.83646,330,29909
5.83646,340,34449
5.83646,350,36747
5.83646,360,36856
5.83646,370,37465
5.83646,380,39948
5.83646,390,40695
5.83646,400,51361
5.83646,410,64606
5.83646,420,72963
5.83646,430,57515
5.83646,440,53183
5.83646,450,85849
5.83646,460,98587
5.83646,470,57825
5.83646,480,24064
5.83646,490,12964
5.83646,500,34068
5.83646,510,52649
5.83646,520,24517
5.83646,530,24455
5.83646,540,21560
5.83646,550,52967
5.83646,560,99322
5.83646,570,52804
5.83646,580,51553
5.83646,590,59163
5.83646,600,58617
5.83646,610,38847
5.83646,620,71141
5.83646,630,54710
5.83646,640,50056
5.83646,650,47681
5.83646,660,38217
5.83646,670,50387
5.83646,680,67092
5.83646,690,40262
5.83646,700,27355
5.83646,710,92555
5.83646,720,42751
5.83646,730,45692
5.83646,740,15709
5.83646,750,124103
5.83646,760,200793
5.83646,770,92851
5.83646,780,18272
5.83646,790,0
5.83646,800,0
5.83646,810,0
5.83646,820,0
5.83646,830,0
5.83646,840,0
5.83646,850,0
5.83646,860,0
5.83646,870,0
5.83646,880,0
5.83646,890,0
5.83646,900,0
5.83646,910,0
5.83646,920,0
5.83646,930,0
5.83646,940,0
5.83646,950,0
5.83646,960,0
5.83646,970,0
5.83646,980,0
5.83646,990,0
6.52424,0,1
6.52424,10,1
6.52424,20,13
6.52424,30,31
6.52424,40,66
6.52424,50,93
6.52424,60,113
6.52424,70,114
6.52424,80,268
6.52424,90,365
6.52424,100,501
6.52424,110,904
6.52424,120,1217
6.52424,130,1218
6.52424,140,1508
6.52424,150,1537
6.52424,160,1692
6.52424,170,2805
6.52424,180,2362
6.52424,190,2618
6.52424,200,3847
6.52424,210,5735
6.52424,220,7291
6.52424,230,5253
6.52424,240,5378
6.52424,250,12749
6.52424,260,9534
6.52424,270,12833
6.52424,280,20085
6.52424,290,25137
6.52424,300,30352
6.52424,310,28091
6.52424,320,29386
6.52424,330,30876
6.52424,340,36473
6.52424,350,39243
6.52424,360,38799
6.52424,370,36585
6.52424,380,42643
6.52424,390,40514
6.52424,400,54987
6.52424,410,68256
6.52424,420,74721
6.52424,430,59255
6.52424,440,54275
6.52424,450,90326
6.52424,460,102019
6.52424,470,59615
6.52424,480,19603
6.52424,490,14835
6.52424,500,35624
6.52424,510,50601
6.52424,520,28727
6.52424,530,22912
6.52424,540,21884
6.52424,550,57913
6.52424,560,99531
6.52424,570,50652
6.52424,580,54485
6.52424,590,62303
6.52424,600,51643
6.52424,610,39528
6.52424,620,75212
6.52424,630,50979
6.52424,640,48675
6.52424,650,45397
6.52424,660,42524
6.52424,670,52872
6.52424,680,64233
6.52424,690,41967
6.52424,700,0
6.52424,710,0
6.52424,720,0
6.52424,730,0
6.52424,740,0
6.52424,750,0
6.52424,760,0
6.52424,770,0
6.52424,780,0
6.52424,790,0
6.52424,800,0
6.52424,810,0
6.52424,820,0
6.52424,830,0
6.52424,840,0
6.52424,850,0
6.52424,860,0
6.52424,870,0
6.52424,880,0
6.52424,890,0
6.52424,900,0
6.52424,910,0
6.52424,920,0
6.52424,930,0
6.52424,940,0
6.52424,950,0
6.52424,960,0
6.52424,970,0
6.52424,980,0
6.52424,990,0
7.21202,0,0
7.21202,10,5
7.21202,20,9
7.21202,30,34
7.21202,40,58
7.21202,50,106
7.21202,60,98
7.21202,70,131
7.21202,80,289
7.21202,90,362
7.21202,100,508
7.21202,110,1057
7.21202,120,1120
7.21202,130,1252
7.21202,140,1541
7.21202,150,1515
7.21202,160,1600
7.21202,170,2868
7.21202,180,2519
7.21202,190,2706
7.21202,200,3857
7.21202,210,6249
7.21202,220,7263
7.21202,230,5320
7.21202,240,6113
7.21202,250,12888
7.21202,260,9956
7.21202,270,14643
7.21202,280,20431
7.21202,290,27274
7.21202,300,32380
7.21202,310,30362
7.21202,320,31605
7.21202,330,32030
7.21202,340,38141
7.21202,350,42169
7.21202,360,38871
7.21202,370,37019
7.21202,380,45388
7.21202,390,42476
7.21202,400,57926
7.21202,410,72589
7.21202,420,75552
7.21202,430,62851
7.21202,440,55961
7.21202,450,95449
7.21202,460,106532
7.21202,470,62007
7.21202,480,14752
7.21202,490,17652
7.21202,500,37135
7.21202,510,49079
7.21202,520,34865
7.21202,530,20573
7.21202,540,20757
7.21202,550,64243
7.21202,560,97966
7.21202,570,48791
7.21202,580,58033
7.21202,590,65866
7.21202,600,40849
7.21202,610,38863
7.21202,620,80147
7.21202,630,14926
7.21202,640,0
7.21202,650,0
7.21202,660,0
7.21202,670,0
7.21202,680,0
7.21202,690,0
7.21202,700,0
7.21202,710,0
7.21202,720,0
7.21202,730,0
7.21202,740,0
7.21202,750,0
7.21202,760,0
7.21202,770,0
7.21202,780,0
7.21202,790,0
7.21202,800,0
7.21202,810,0
7.21202,820,0
7.21202,830,0
7.21202,840,0
7.21202,850,0
7.21202,860,0
7.21202,870,0
7.21202,880,0
7.21202,890,0
7.21202,900,0
7.21202,910,0
7.21202,920,0
7.21202,930,0
7.21202,940,0
7.21202,950,0
7.21202,960,0
7.21202,970,0
7.21202,980,0
7.21202,990,0
7.8998,0,0
7.8998,10,4
7.8998,20,14
7.8998,30,27
7.8998,40,52
7.8998,50,109
7.8998,60,100
7.8998,70,139
7.8998,80,324
7.8998,90,364
7.8998,100,550
7.8998,110,1167
7.8998,120,1038
7.8998,130,1334
7.8998,140,1625
7.8998,150,1492
7.8998,160,1678
7.8998,170,2956
7.8998,180,2670
7.8998,190,2749
7.8998,200,4104
7.8998,210,6676
7.8998,220,6892
7.8998,230,5613
7.8998,240,7155
7.8998,250,13130
7.8998,260,10091
7.8998,270,16276
7.8998,280,21245
7.8998,290,29912
7.8998,300,34695
7.8998,310,33347
7.8998,320,33802
7.8998,330,33074
7.8998,340,40393
7.8998,350,44801
7.8998,360,39066
7.8998,370,39097
7.8998,380,47900
7.8998,390,44134
7.8998,400,60816
7.8998,410,76940
7.8998,420,76542
7.8998,430,65025
7.8998,440,58620
7.8998,450,101227
7.8998,460,109375
7.8998,470,60800
7.8998,480,14000
7.8998,490,19145
7.8998,500,41526
7.8998,510,45808
7.8998,520,38355
7.8998,530,18675
7.8998,540,18130
7.8998,550,81189
7.8998,560,82924
7.8998,570,18526
7.8998,580,0
7.8998,590,0
7.8998,600,0
7.8998,610,0
7.8998,620,0
7.8998,630,0
7.8998,640,0
7.8998,650,0
7.8998,660,0
7.8998,670,0
7.8998,680,0
7.8998,690,0
7.8998,700,0
7.8998,710,0
7.8998,720,0
7.8998,730,0
7.8998,740,0
7.8998,750,0
7.8998,760,0
7.8998,770,0
7.8998,780,0
7.8998,790,0
7.8998,800,0
7.8998,810,0
7.8998,820,0
7.8998,830,0
7.8998,840,0
7.8998,850,0
7.8998,860,0
7.8998,870,0
7.8998,880,0
7.8998,890,0
7.8998,900,0
7.8998,910,0
7.8998,920,0
7.8998,930,0
7.8998,940,0
7.8998,950,0
7.8998,960,0
7.8998,970,0
7.8998,980,0
7.8998,990,0
8.58758,0,0
8.58758,10,3
8.58758,20,23
8.58758,30,20
8.58758,40,73
8.58758,50,115
8.58758,60,113
8.58758,70,144
8.58758,80,328
8.58758,90,357
8.58758,100,562
8.58758,110,1188
8.58758,120,1040
8.58758,130,1426
8.58758,140,1717
8.58758,150,1495
8.58758,160,1791
8.58758,170,2893
8.58758,180,2751
8.58758,190,3059
8.58758,200,4164
8.58758,210,7126
8.58758,220,7038
8.58758,230,5483
8.58758,240,8180
8.58758,250,13112
8.58758,260,10444
8.58758,270,18182
8.58758,280,22443
8.58758,290,33391
8.58758,300,36825
8.58758,310,37056
8.58758,320,37479
8.58758,330,33673
8.58758,340,43183
8.58758,350,49133
8.58758,360,38642
8.58758,370,41443
8.58758,380,50447
8.58758,390,48489
8.58758,400,62088
8.58758,410,84323
8.58758,420,77477
8.58758,430,67585
8.58758,440,61088
8.58758,450,106159
8.58758,460,108833
8.58758,470,62183
8.58758,480,16146
8.58758,490,18466
8.58758,500,45824
8.58758,510,39245
8.58758,520,37000
8.58758,530,0
8.58758,540,0
8.58758,550,0
8.58758,560,0
8.58758,570,0
8.58758,580,0
8.58758,590,0
8.58758,600,0
8.58758,610,0
8.58758,620,0
8.58758,630,0
8.58758,640,0
8.58758,650,0
8.58758,660,0
8.58758,670,0
8.58758,680,0
8.58758,690,0
8.58758,700,0
8.58758,710,0
8.58758,720,0
8.58758,730,0
8.58758,740,0
8.58758,750,0
8.58758,760,0
8.58758,770,0
8.58758,780,0
8.58758,790,0
8.58758,800,0
8.58758,810,0
8.58758,820,0
8.58758,830,0
8.58758,840,0
8.58758,850,0
8.58758,860,0
8.58758,870,0
8.58758,880,0
8.58758,890,0
8.58758,900,0
8.58758,910,0
8.58758,920,0
8.58758,930,0
8.58758,940,0
8.58758,950,0
8.58758,960,0
8.58758,970,0
8.58758,980,0
8.58758,990,0
9.27536,0,2
9.27536,10,7
9.27536,20,34
9.27536,30,64
9.27536,40,134
9.27536,50,234
9.27536,60,187
9.27536,70,264
9.27536,80,764
9.27536,90,810
9.27536,100,1133
9.27536,110,2444
9.27536,120,2248
9.27536,130,2783
9.27536,140,3810
9.27536,150,2884
9.27536,160,3933
9.27536,170,5808
9.27536,180,5835
9.27536,190,6951
9.27536,200,8659
9.27536,210,15619
9.27536,220,13469
9.27536,230,11951
9.27536,240,18855
9.27536,250,28373
9.27536,260,23682
9.27536,270,42054
9.27536,280,49794
9.27536,290,79482
9.27536,300,82073
9.27536,310,86589
9.27536,320,84807
9.27536,330,75110
9.27536,340,95877
9.27536,350,116541
9.27536,360,74248
9.27536,370,92532
9.27536,380,108346
9.27536,390,113577
9.27536,400,140796
9.27536,410,192284
9.27536,420,155764
9.27536,430,138262
9.27536,440,146326
9.27536,450,136821
9.27536,460,102705
9.27536,470,69098
9.27536,480,15937
9.27536,490,0
9.27536,500,0
9.27536,510,0
9.27536,520,0
9.27536,530,0
9.27536,540,0
9.27536,550,0
9.27536,560,0
9.27536,570,0
9.27536,580,0
9.27536,590,0
9.27536,600,0
9.27536,610,0
9.27536,620,0
9.27536,630,0
9.27536,640,0
9.27536,650,0
9.27536,660,0
9.27536,670,0
9.27536,680,0
9.27536,690,0
9.27536,700,0
9.27536,710,0
9.27536,720,0
9.27536,730,0
9.27536,740,0
9.27536,750,0
9.27536,760,0
9.27536,770,0
9.27536,780,0
9.27536,790,0
9.27536,800,0
9.27536,810,0
9.27536,820,0
9.27536,830,0
9.27536,840,0
9.27536,850,0
9.27536,860,0
9.27536,870,0
9.27536,880,0
9.27536,890,0
9.27536,900,0
9.27536,910,0
9.27536,920,0
9.27536,930,0
9.27536,940,0
9.27536,950,0
9.27536,960,0
9.27536,970,0
9.27536,980,0
9.27536,990,0
9.96314,0,1
9.96314,10,3
9.96314,20,22
9.96314,30,32
9.96314,40,85
9.96314,50,128
9.96314,60,84
9.96314,70,179
9.96314,80,397
9.96314,90,442
9.96314,100,651
9.96314,110,1222
9.96314,120,1253
9.96314,130,1437
9.96314,140,2000
9.96314,150,1446
9.96314,160,2408
9.96314,170,2879
9.96314,180,3039
9.96314,190,3884
9.96314,200,4568
9.96314,210,8826
9.96314,220,6588
9.96314,230,6983
9.96314,240,10236
9.96314,250,16077
9.96314,260,14363
9.96314,270,24020
9.96314,280,29604
9.96314,290,44825
9.96314,300,47656
9.96314,310,51584
9.96314,320,47728
9.96314,330,42470
9.96314,340,53126
9.96314,350,75405
9.96314,360,32500
9.96314,370,55655
9.96314,380,55059
9.96314,390,71152
9.96314,400,80290
9.96314,410,105273
9.96314,420,32817
9.96314,430,0
9.96314,440,0
9.96314,450,0
9.96314,460,0
9.96314,470,0
9.96314,480,0
9.96314,490,0
9.96314,500,0
9.96314,510,0
9.96314,520,0
9.96314,530,0
9.96314,540,0
9.96314,550,0
9.96314,560,0
9.96314,570,0
9.96314,580,0
9.96314,590,0
9.96314,600,0
9.96314,610,0
9.96314,620,0
9.96314,630,0
9.96314,640,0
9.96314,650,0
9.96314,660,0
9.96314,670,0
9.96314,680,0
9.96314,690,0
9.96314,700,0
9.96314,710,0
9.96314,720,0
9.96314,730,0
9.96314,740,0
9.96314,750,0
9.96314,760,0
9.96314,770,0
9.96314,780,0
9.96314,790,0
9.96314,800,0
9.96314,810,0
9.96314,820,0
9.96314,830,0
9.96314,840,0
9.96314,850,0
9.96314,860,0
9.96314,870,0
9.96314,880,0
9.96314,890,0
9.96314,900,0
9.96314,910,0
9.96314,920,0
9.96314,930,0
9.96314,940,0
9.96314,950,0
9.96314,960,0
9.96314,970,0
9.96314,980,0
9.96314,990,0
10.6509,0,0
10.6509,10,6
10.6509,20,22
10.6509,30,36
10.6509,40,81
10.6509,50,125
10.6509,60,87
10.6509,70,170
10.6509,80,452
10.6509,90,410
10.6509,100,680
10.6509,110,1293
10.6509,120,1282
10.6509,130,1550
10.6509,140,1982
10.6509,150,1483
10.6509,160,2567
10.6509,170,3024
10.6509,180,3051
10.6509,190,4044
10.6509,200,5058
10.6509,210,9509
10.6509,220,6569
10.6509,230,7492
10.6509,240,10507
10.6509,250,17616
10.6509,260,17289
10.6509,270,25729
10.6509,280,34430
10.6509,290,49299
10.6509,300,55757
10.6509,310,56137
10.6509,320,51645
10.6509,330,43674
10.6509,340,59861
10.6509,350,97295
10.6509,360,25053
10.6509,370,63962
10.6509,380,52117
10.6509,390,61295
10.6509,400,0
10.6509,410,0
10.6509,420,0
10.6509,430,0
10.6509,440,0
10.6509,450,0
10.6509,460,0
10.6509,470,0
10.6509,480,0
10.6509,490,0
10.6509,500,0
10.6509,510,0
