#      mass       lower       upper
3.5374800e+00 5.9948425e-14 3.7649358e-10
3.5548200e+00 5.9948425e-14 3.7649358e-10
3.5722400e+00 5.9948425e-14 3.7649358e-10
3.5897400e+00 5.9948425e-14 3.7649358e-10
3.6073300e+00 5.9948425e-14 3.7649358e-10
3.6250100e+00 5.9948425e-14 3.7649358e-10
3.6427800e+00 5.9948425e-14 3.7649358e-10
3.6606300e+00 5.9948425e-14 3.7649358e-10
3.6785600e+00 5.9948425e-14 3.7649358e-10
3.6965900e+00 5.9948425e-14 3.7649358e-10
3.7147100e+00 5.9948425e-14 3.7649358e-10
3.7329100e+00 5.9948425e-14 3.7649358e-10
3.7512000e+00 5.9948425e-14 3.1257158e-10
3.7695800e+00 5.9948425e-14 3.1257158e-10
3.7880600e+00 5.9948425e-14 3.1257158e-10
3.8066200e+00 5.9948425e-14 3.1257158e-10
3.8252700e+00 5.9948425e-14 3.1257158e-10
3.8440200e+00 5.9948425e-14 3.1257158e-10
3.8628600e+00 5.9948425e-14 3.1257158e-10
3.8817900e+00 5.9948425e-14 3.1257158e-10
3.9008100e+00 5.9948425e-14 3.1257158e-10
3.9199200e+00 5.9948425e-14 3.1257158e-10
3.9391300e+00 5.9948425e-14 3.1257158e-10
3.9584300e+00 5.9948425e-14 3.1257158e-10
3.9778300e+00 5.9948425e-14 3.1257158e-10
3.9973300e+00 5.9948425e-14 3.1257158e-10
4.0169100e+00 5.9948425e-14 3.1257158e-10
4.0366000e+00 5.9948425e-14 3.1257158e-10
4.0563800e+00 5.9948425e-14 3.1257158e-10
4.0762600e+00 5.9948425e-14 3.1257158e-10
4.0962300e+00 5.9948425e-14 2.5950242e-10
4.1163100e+00 5.9948425e-14 2.5950242e-10
4.1364800e+00 5.9948425e-14 2.5950242e-10
4.1567500e+00 5.9948425e-14 2.5950242e-10
4.1771200e+00 5.9948425e-14 2.5950242e-10
4.1975900e+00 5.9948425e-14 2.5950242e-10
4.2181600e+00 5.9948425e-14 2.5950242e-10
4.2388300e+00 5.9948425e-14 2.5950242e-10
4.2596000e+00 4.9770236e-14 2.5950242e-10
4.2804700e+00 4.9770236e-14 2.5950242e-10
4.3014500e+00 4.9770236e-14 2.5950242e-10
4.3225300e+00 4.9770236e-14 2.5950242e-10
4.3437100e+00 4.9770236e-14 2.5950242e-10
4.3649900e+00 4.9770236e-14 2.5950242e-10
4.3863800e+00 4.9770236e-14 2.5950242e-10
4.4078800e+00 4.9770236e-14 2.5950242e-10
4.4294800e+00 4.9770236e-14 2.5950242e-10
4.4511900e+00 4.9770236e-14 2.1544347e-10
4.4730000e+00 4.9770236e-14 2.1544347e-10
4.4949200e+00 4.9770236e-14 2.1544347e-10
4.5169400e+00 4.9770236e-14 2.1544347e-10
4.5390800e+00 4.9770236e-14 2.1544347e-10
4.5613200e+00 4.9770236e-14 2.1544347e-10
4.5836700e+00 4.9770236e-14 2.1544347e-10
4.6061400e+00 4.9770236e-14 2.1544347e-10
4.6287100e+00 4.9770236e-14 2.1544347e-10
4.6513900e+00 4.9770236e-14 2.1544347e-10
4.6741800e+00 4.9770236e-14 2.1544347e-10
4.6970900e+00 4.9770236e-14 2.1544347e-10
4.7201100e+00 4.9770236e-14 2.1544347e-10
4.7432400e+00 4.9770236e-14 2.1544347e-10
4.7664800e+00 4.9770236e-14 2.1544347e-10
4.7898400e+00 4.9770236e-14 2.1544347e-10
4.8133100e+00 4.9770236e-14 2.1544347e-10
4.8369000e+00 4.9770236e-14 2.1544347e-10
